city,country,meal_inexpensive,meal_for_2_midrange,mcmeal,domestic_beer_restaurant,imported_beer_restaurant,cappuccino,coke_pepsi_restaurant,water_restaurant,milk,bread,rice,eggs,cheese,chicken,beef,apples,banana,oranges,tomato,potato,onion,lettuce,water_market,wine,domestic_beer_market,imported_beer_market,cigarettes,one_way_ticket,monthly_pass,taxi_start,taxi_1km,taxi_1hour_waiting,gasoline,vw_golf,toyota_corolla,utilities_85m2,mobile_tariff,internet,fitness_club,tennis_court,cinema,preschool,intl_primary_school,jeans,summer_dress,nike_shoes,leather_shoes,apt_1bed_city,apt_1bed_outside,apt_3bed_city,apt_3bed_outside,price_sqm_city,price_sqm_outside,avg_salary,mortgage_rate,data_quality
Fellbach,Germany,10.54,36.88,9.16,3.69,2.53,2.82,1.84,1.58,0.96,1.79,1.69,2.53,12.64,7.38,17.91,2.11,1.16,1.89,2.74,1.05,0.94,1.16,0.84,4.21,0.91,1.51,7.38,,104.32,3.16,1.37,12.64,2.27,23182.39,22128.65,197.58,0.15,38.64,,,14.23,316.12,,75.17,21.07,105.37,126.45,1053.75,790.31,2634.36,1896.74,,,3161.24,2.0,0
Bruchsal,Germany,11.59,63.22,8.43,4.21,4.21,3.16,3.03,2.11,0.99,2.11,2.16,2.7,13.75,8.23,20.72,2.46,1.68,2.02,0.83,2.28,0.94,1.3,0.53,5.27,0.57,1.58,7.06,,,3.69,2.11,31.61,2.27,21074.9,25421.6,231.46,0.1,38.05,31.61,,10.54,392.52,9799.83,84.83,38.64,89.57,107.22,632.25,526.87,1264.49,948.37,,,,2.35,0
Oranienburg,Germany,,,,,,,,,,,,,,,,,,,,,,,,,1.05,,7.38,4.21,84.3,,,,,,,597.12,,,42.15,,,,,,21.07,,,913.08,526.87,1685.99,1053.75,,,,,0
Kaufbeuren,Germany,14.23,52.69,6.32,4.21,3.95,3.49,2.99,2.63,1.02,2.11,2.28,2.91,12.64,6.59,,2.63,1.86,2.37,2.03,1.05,0.94,1.05,0.42,5.27,0.85,1.26,8.43,,,3.16,2.11,29.72,2.16,,,318.66,0.09,42.15,42.15,,12.64,632.25,,84.3,35.12,84.3,158.06,,474.19,,843.0,,,2107.49,1.5,0
Ansbach,Germany,8.36,34.25,6.32,3.16,3.16,2.11,2.99,2.81,1.02,1.05,2.28,2.31,12.64,6.59,,2.11,1.05,1.68,2.03,1.05,0.94,1.05,1.05,5.27,0.56,1.26,6.32,,55.85,3.16,2.11,29.72,2.16,,,318.66,0.09,42.15,21.07,,12.64,632.25,,47.42,35.12,51.63,68.49,,,,,,1053.75,3020.74,1.5,0
Schwabach,Germany,8.43,42.68,7.38,4.21,3.16,3.24,2.81,2.18,0.76,2.1,1.99,2.52,10.43,8.45,14.75,2.1,1.15,1.42,0.83,0.63,1.68,1.04,0.2,4.2,0.6,0.71,7.38,3.58,,3.69,2.11,26.55,2.32,24683.98,23266.69,210.75,0.31,31.61,36.78,,10.43,758.7,5795.6,93.77,52.69,97.47,158.06,,516.34,,,,,,1.47,0
Furstenfeldbruck,Germany,12.64,52.69,8.43,3.69,3.58,2.63,2.21,1.51,1.09,2.18,4.48,3.7,19.32,12.12,21.07,3.86,2.35,3.69,3.16,2.63,2.11,1.32,0.95,6.32,1.26,1.05,8.43,7.38,100.11,1.58,,,2.21,33719.85,33719.85,248.8,0.16,28.98,80.79,,11.59,210.75,,80.79,26.34,,84.3,895.68,983.5,1520.91,1352.31,8429.96,7376.22,,3.0,0
Crailsheim,Germany,11.33,77.98,6.59,2.53,2.79,2.81,2.11,2.11,0.79,0.74,2.18,3.37,,8.43,14.75,2.8,0.95,2.74,2.85,1.74,,0.74,0.53,3.16,,,,1.9,61.12,5.8,,,,42149.81,31612.36,219.23,,34.19,,,,,,36.88,31.61,57.96,,526.87,421.5,869.34,684.93,,,,,0
Zweibrucken,Germany,,94.84,5.27,4.21,3.16,2.32,2.42,2.63,1.04,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,179.14,,47.42,,,,,,52.69,21.07,47.42,52.69,,368.81,474.19,526.87,,,4478.42,1.5,0
Bad Nauheim,Germany,8.43,42.15,7.38,4.0,3.69,3.24,2.49,2.18,1.06,2.21,2.07,2.89,13.53,8.45,14.75,2.97,1.73,2.11,0.83,1.23,0.94,1.16,0.68,4.74,0.6,1.51,7.59,,,3.16,1.37,26.55,2.32,23182.39,22128.65,345.63,0.09,38.64,21.07,,14.23,421.5,5795.6,75.17,21.07,94.84,158.06,,,,,,,,1.47,0
Landsberg,Germany,13.7,63.22,8.43,4.0,,,,,0.76,1.79,1.05,2.59,14.01,13.59,23.39,3.15,1.94,2.63,3.58,2.21,3.06,1.48,0.21,6.32,1.11,,7.38,1.58,37.93,4.11,,,2.31,,,,,,,,9.48,,,,,,,843.0,669.13,1896.74,1527.93,7903.09,6322.47,,1.5,0
Wangen im Allgau,Germany,15.81,36.88,7.38,3.37,3.69,3.16,3.16,3.16,0.95,3.16,1.69,2.97,15.81,11.06,15.81,2.63,1.63,3.16,3.16,2.11,1.58,1.21,0.26,5.27,1.05,1.0,7.9,1.48,,,,,2.21,,,398.99,,43.73,47.42,,10.54,,,42.15,21.07,47.42,52.69,790.31,526.87,1053.75,737.62,6322.47,4214.98,2571.14,2.5,0
Bad Honnef am Rhein,Germany,,,,,,,,,1.48,2.11,0.99,2.48,6.32,5.08,7.38,3.16,3.05,3.05,2.53,1.05,,,1.53,10.54,,,9.48,2.63,,6.32,,36.88,,16859.92,21074.9,421.5,0.32,,63.22,,12.64,526.87,,21.07,36.88,52.69,105.37,895.68,737.62,2634.36,2002.12,5268.73,4214.98,2423.61,,0
Pfaffenhofen,Germany,14.75,63.22,8.43,3.79,4.0,2.11,2.0,2.0,1.46,2.1,2.63,3.78,9.8,9.48,12.64,3.69,3.15,,,3.69,,1.84,0.83,8.43,1.26,2.0,7.9,,108.54,3.69,,,2.21,,,,,41.1,83.25,36.88,16.86,305.59,,115.91,68.49,167.55,209.7,,,1317.18,1001.06,6849.34,6059.04,,,0
Friedrichsdorf,Germany,12.64,29.5,8.43,5.27,5.27,4.21,3.16,2.11,1.16,,,,,,,,1.26,,,,,,,5.27,,,,5.27,,,1.26,,,,16859.92,,,,43.91,,,,,,,63.22,158.06,,,,,,,,,0
Bad Mergentheim,Germany,10.01,52.69,10.54,4.0,4.11,3.32,3.69,3.69,1.05,,,1.52,,,,3.69,3.69,3.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Husum,Germany,15.81,105.37,,4.21,3.16,3.16,2.63,1.05,1.36,2.2,4.16,5.36,13.65,15.12,12.96,3.11,2.05,1.66,2.89,1.4,1.46,1.25,1.9,6.3,1.31,1.05,5.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Herzogenaurach,Germany,21.07,73.76,9.48,4.21,4.21,3.16,2.11,1.05,0.78,2.11,2.05,2.53,4.21,5.16,5.16,2.11,1.05,2.11,1.05,2.11,,1.05,,7.38,,,8.32,1.44,,3.66,1.84,22.13,2.11,23071.75,,113.8,,,26.34,3.16,15.81,474.19,15806.18,70.6,,47.42,93.78,1053.75,948.37,1580.62,1422.56,,,4636.48,,0
Schramberg,Germany,11.59,63.22,10.54,4.48,5.27,3.06,2.0,2.3,1.0,2.83,1.05,2.92,15.6,9.33,16.86,2.63,1.68,1.97,0.83,2.74,0.98,0.95,0.87,5.27,0.69,1.18,7.38,2.08,69.64,3.37,2.34,31.61,2.32,21794.09,26691.37,109.59,0.09,47.42,31.61,33.72,7.38,324.9,21074.9,81.67,45.66,73.76,80.79,684.93,600.63,1527.93,1896.74,3673.36,3413.08,3261.87,2.17,0
Gross-Umstadt,Germany,7.38,,5.27,1.58,2.11,2.11,2.11,2.11,0.74,,0.63,1.58,,5.27,,2.11,4.74,4.74,,,,,,7.38,,1.05,8.43,3.16,105.37,2.11,2.11,,,36881.08,21074.9,223.92,,52.69,,,21.07,,,84.3,73.76,73.76,158.06,,,,,,,,,0
Annaberg-Buchholz,Germany,,,,,,,,,0.83,3.16,,2.52,,,,,,,,,,,,,,,,,,4.21,1.9,,,25289.89,23182.39,665.36,0.2,47.42,47.42,,30.56,158.06,,104.32,51.63,104.32,135.93,316.12,263.44,632.25,526.87,,,,,0
Buckeburg,Germany,8.43,38.99,8.43,3.69,3.16,3.34,2.77,2.99,0.99,1.86,3.65,3.04,8.22,6.11,33.68,2.56,1.68,2.37,0.83,2.32,2.11,2.05,0.63,5.8,0.56,1.07,6.95,5.95,82.19,3.69,2.21,36.88,2.14,25289.89,25152.9,241.92,0.1,28.05,17.91,,11.59,105.37,,83.25,34.25,93.78,91.32,885.15,408.33,1488.42,1172.29,,,,1.9,0
Erlenbach am Main,Germany,15.81,57.96,8.43,4.21,4.21,3.49,2.58,2.39,1.12,3.69,2.69,2.84,20.02,8.23,20.72,2.93,1.77,2.18,0.83,1.51,1.15,1.6,0.59,5.8,0.57,1.92,7.06,2.79,89.57,3.69,2.11,31.61,2.27,25816.76,27660.81,287.93,0.09,39.32,32.93,23.18,11.59,453.11,12644.94,84.83,34.25,99.35,121.18,816.65,649.81,2160.18,1275.03,7144.39,4109.61,2480.69,2.35,0
Ainring,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.42,47.42,,,,,,,158.06,,31.61,26.34,,8.43,,,63.22,21.07,84.3,105.37,,,,,,,,,0
Rudesheim am Rhein,Germany,,,,,,,,,1.15,1.58,2.11,2.53,8.18,15.7,17.81,3.16,1.15,2.63,1.36,1.36,0.95,1.05,0.26,3.16,1.05,1.26,8.01,3.42,102.21,,,,,,,,0.09,21.07,31.61,,15.81,,,63.22,26.34,84.3,,632.25,,,1264.49,,,,,0
Haag in Oberbayern,Germany,12.64,44.78,8.43,3.9,3.95,3.16,2.11,1.05,1.05,1.63,1.05,1.26,9.96,5.27,8.69,2.46,1.68,2.23,1.35,2.32,1.33,1.4,0.34,5.8,0.56,1.36,7.38,5.27,105.37,4.48,1.9,27.19,2.31,20021.16,24236.14,148.84,0.18,41.8,31.61,31.61,12.64,210.75,7586.97,63.75,51.28,75.52,94.39,,,,,,,,3.0,0
